ANCHORAGE H/C,10.12.0.1
ATLANTA MIDTOWN H/C,10.12.0.129
ATLANTA SUPER H/C,10.12.1.1
AUSTIN H/C,10.12.1.129
BALTIMORE H/C,10.12.2.1
BELTSVILLE H/C,10.12.2.129
BOSTON H/C,10.12.3.1
BUFFALO H/C,10.12.3.129
BURBANK H/C,10.12.4.1
CHARLOTTE H/C,10.12.4.129
CHESAPEAKE H/C,10.12.5.1
CHICAGO NORTH H/C,10.12.5.129
CHICAGO SOUTH H/C,10.12.6.1
CINCINNATI H/C,10.12.6.129
DETROIT H/C,10.12.7.1
COLUMBIA H/C,10.12.7.129
COLUMBUS H/C,10.12.8.1
DENVER H/C ?,10.12.8.129
CLEVELAND H/C,10.12.9.1
EL PASO H/C,10.12.9.129
FAIRFAX H/C,10.12.10.1
FLINT H/C,10.12.10.129
FT. LAUDERDALE H/C,10.12.11.1
FT. WORTH H/C,10.12.11.129
GRAND RAPIDS H/C,10.12.12.1
HACKENSACK SUPER H/C,10.12.12.129
HARTFORD H/C,10.12.13.1
HAUPPAUGE H/C,10.12.13.129
HONOLULU H/C,10.12.14.1
HOUSTON NORTH H/C,10.12.14.129
HOUSTON SOUTH H/C,10.12.15.1
INDIANAPOLIS H/C,10.12.15.129
JACKSONVILLE H/C ?,10.12.16.1
KANSAS CITY H/C,10.12.16.129
KIRKLAND H/C,10.12.17.1
LAS VEGAS H/C,10.12.17.129
LOS ANGELES H/C,10.12.18.1
LOUISVILLE H/C,10.12.18.129
MANHATTAN DOWNTOWN H/C,10.12.19.1
MANHATTAN UPTOWN H/C,10.12.19.129
MIAMI SUPER H/C,10.12.20.1
MILWAUKEE H/C,10.12.20.129
OPEN,10.12.21.1
NASHVILLE H/C,10.12.21.129
NEW ORLEANS H/C,10.12.22.1
OAKLAND H/C,10.12.22.129
OKLAHOMA CITY H/C,10.12.23.1
OMAHA H/C,10.12.23.129
ORANGE H/C,10.12.24.1
ORLANDO H/C,10.12.24.129
PHILADELPHIA H/C,10.12.25.1
PHOENIX H/C,10.12.25.129
PITTSBURGH H/C,10.12.26.1
PORTLAND H/C,10.12.26.129
PROVIDENCE H/C,10.12.27.1
OPEN,10.12.27.129
QUEENS H/C,10.12.28.1
RALEIGH H/C,10.12.28.129
RICHMOND H/C,10.12.29.1
SACRAMENTO H/C,10.12.29.129
SALT LAKE CITY H/C,10.12.30.1
SAN ANTONIO H/C,10.12.30.129
TULSA H/C,10.12.31.1
SAN DIEGO H/C,10.12.31.129
SAN JOSE H/C,10.12.32.1
SEATTLE H/C,10.12.32.129
ST. LOUIS H/C,10.12.33.1
STAMFORD H/C,10.12.33.129
TAMPA H/C,10.12.34.1
SAN FRANCISCO H/C,10.12.34.129
WTC-LOWER MANHATTAN H/C,10.12.35.1
WEST HAVEN H/C,10.12.35.129
PERTH AMBOY,10.12.36.1
PHOENIX NORTH H/C,10.12.36.129
ONTARIO CALF H/C,10.12.37.1
DENVER SOUTH HC,10.12.37.129
DALLAS HC,10.12.38.1
LOUISVILLE H/C - MOVE,10.12.38.129
HARRISBURG D/C,10.12.129.1
ATLANTA R/C,10.12.128.129
DALLAS D/C,10.12.129.1
CHICAGO R/C,10.12.128.129
BIRMINGHAM D/C,10.12.130.1
DENVER D/C,10.12.130.129
FREDERICK D/C,10.12.131.1
ALBANY D/C,10.12.131.129
JACKSONVILLE D/C,10.12.132.1
MINNEAPOLIS D/C,10.12.132.129
SEATTLE D/C,10.12.133.1
SOUTH BEND D/C,10.12.133.129
VISALIA D/C R/C,10.12.134.1
Calgary-AB-Canada,10.12.224.1
Concord-ON-Canada,10.12.224.129
Dartmouth-NS-Canada,10.12.225.1
False Creek-BC-Canada,10.12.225.129
Fort McMurray-AB-Canada,10.12.226.1
Kitchener-ON-Canada,10.12.226.129
Toronto West-ON-Canada,10.12.227.1
Ottawa-ON-Canada,10.12.227.129
Toronto East-ON-Canada,10.12.228.1
Stoney Creek-ON-Canada,10.12.228.129
Sudbury- ON- Canada,10.12.229.1
Winnipeg- MN- Canada,10.12.229.129
Ste Foy- QB- Canada,10.12.230.1
Burnaby- BC- Canada,10.12.230.129
Saskatoon- SK- Canada,10.12.231.1
Calgary South- AB- Canada,10.12.231.129
Canada HQ - Toronto,10.101.50.5
Toronto- ON- Canada,10.12.240.1
Vancouver- BC- Canada,10.12.240.129
Edmonton- AB- Canada,10.12.241.1
Montreal- QB- Canada,10.12.241.129
